data,pressao_atm,temp_med_dia,umid_relativa,veloc_vento,prec_total,dose,temp_max_dia,temp_min_dia,dia_juliano,dia_semana,data_unix,est_inverno,est_outono,est_primavera,est_verao,dir_vento_E,dir_vento_N,dir_vento_NE,dir_vento_NW,dir_vento_S,dir_vento_SE,dir_vento_SW,dir_vento_W,freq_intern,idade_med,dias_intern_med,idade_mod,dias_intern_mod,freq_intern_1d,freq_intern_2d,freq_intern_3d,freq_intern_4d,freq_intern_5d
2020-05-14,1014.225,15.408333333333333,73.25,1.4916666666666665,0.0,14.622900000000001,20.1,11.8,135,3,1589414400,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,16,51.5,4.0,0.17,2,23.0,17.0,10.0,25.0,18.0
2020-05-15,1015.3125,13.341666666666667,76.29166666666667,0.9625,0.0,14.524275,19.2,9.2,136,4,1589500800,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,23,38.0,6.0,23.0,7,17.0,10.0,25.0,18.0,25.0
2020-05-16,1012.125,14.591666666666667,68.16666666666667,1.3625,0.0,13.959953,22.1,9.0,137,5,1589587200,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17,55.0,3.0,51.0,2,10.0,25.0,18.0,25.0,20.0
2020-05-17,1011.6166666666667,17.404166666666665,63.708333333333336,1.075,0.0,14.050531000000001,25.4,11.5,138,6,1589673600,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10,45.5,3.5,0.17,1,25.0,18.0,25.0,20.0,18.0
2020-05-18,1014.9166666666666,18.0125,73.79166666666667,0.9958333333333332,0.0,13.51072,26.6,12.1,139,0,1589760000,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,51.0,4.0,69.0,1,18.0,25.0,20.0,18.0,19.0
2020-05-19,1014.6125000000001,20.066666666666666,71.04166666666667,0.9708333333333333,0.0,13.660172999999999,29.4,12.6,140,1,1589846400,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,62.5,8.0,81.0,11,25.0,20.0,18.0,19.0,10.0
2020-05-20,1012.3708333333334,21.412499999999998,65.70833333333333,1.1541666666666666,0.0,13.256919999999997,29.9,14.6,141,2,1589932800,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,25,62.0,7.0,72.0,0,20.0,18.0,19.0,10.0,18.0
2020-05-21,1008.5124999999999,20.616666666666667,75.375,0.9791666666666666,23.6,3.097746,24.6,18.1,142,3,1590019200,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20,56.0,6.5,55.0,4,18.0,19.0,10.0,18.0,19.0
2020-05-22,1003.5208333333334,18.616666666666667,93.75,0.9791666666666666,35.6,3.228376,21.7,17.5,143,4,1590105600,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,49.5,4.0,28.0,6,19.0,10.0,18.0,19.0,15.0
2020-05-23,1003.6083333333332,16.650000000000002,84.29166666666667,2.033333333333333,15.399999999999999,9.552241,18.9,13.9,144,5,1590192000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,19,60.0,9.0,56.0,5,10.0,18.0,19.0,15.0,18.0
